distancia_km,pasajeros,hora_recoleccion,zona_origen,zona_destino,duracion_minutos
3.0094658,1,21,74,263,11.016666666666667
3.1543064,1,12,74,236,14.766666666666667
4.9406738,1,22,65,145,23.016666666666666
13.7115768,1,18,134,229,44.61666666666667
3.3635205999999997,1,12,129,158,39.266666666666666
8.2720076,1,7,243,41,14.366666666666667
0.24140099999999998,2,14,74,74,3.3333333333333335
7.9984198,5,17,75,170,22.716666666666665
1.9312079999999998,2,15,75,41,10.05
0.9173237999999999,1,20,181,97,4.75
1.8507409999999997,1,19,66,33,9.483333333333333
2.4944770000000003,1,19,43,24,9.25
3.0416526,2,22,181,257,8.683333333333334
4.0394434,1,17,75,42,14.783333333333333
1.1265379999999998,1,19,82,196,6.75
4.8923936,1,16,74,239,15.7
2.092142,6,13,75,263,6.483333333333333
4.4417784,1,12,74,238,17.783333333333335
1.4162192,1,21,83,129,9.616666666666667
4.3291246,1,19,95,28,12.183333333333334
7.0810960000000005,1,7,244,239,14.8
3.7336688,3,15,95,160,15.45
3.1864932,1,16,74,166,15.816666666666666
6.5339203999999995,1,15,129,102,32.516666666666666
1.8829277999999998,1,15,82,260,9.216666666666667
1.2713786,2,20,97,181,7.45
1.8507409999999997,1,18,95,95,5.983333333333333
4.103816999999999,3,15,166,262,21.583333333333332
0.80467,1,15,95,196,4.683333333333334
2.1243288000000002,1,12,74,74,9.75
1.0782578,2,12,83,82,5.033333333333333
1.7863674,1,14,43,238,5.383333333333334
3.2025866,1,17,41,75,10.2
2.735878,2,21,166,116,10.65
1.3518455999999999,1,8,42,74,5.983333333333333
1.4323126,5,15,75,236,7.6
14.693274200000001,1,9,130,198,23.666666666666668
11.4585008,1,13,74,138,14.383333333333333
6.5822006,1,10,41,229,28.066666666666666
25.8942806,1,17,93,72,48.333333333333336
3.5405480000000003,1,10,74,151,18.35
6.6626676,1,22,74,244,11.833333333333334
10.6377374,1,22,65,226,19.683333333333334
2.2047958000000003,2,8,74,75,7.383333333333334
4.425685,1,8,210,55,8.233333333333333
4.7958332,1,7,74,237,14.15
20.6478322,2,9,83,122,30.316666666666666
2.2852628,1,8,82,129,10.433333333333334
21.967491,1,9,195,138,30.316666666666666
4.506151999999999,2,15,74,237,14.916666666666666
2.2208892,1,21,74,41,10.866666666666667
3.781949,1,13,95,135,10.783333333333333
6.0993986,1,15,82,138,10.7
1.4644994,1,16,7,179,8.333333333333334
5.9545580000000005,1,17,82,138,12.85
1.689807,1,7,166,74,6.933333333333334
1.0621644000000001,1,7,223,223,4.8
2.7197846,1,10,166,238,8.783333333333333
5.7775305999999995,5,16,74,140,25.616666666666667
2.8324384,1,16,65,188,26.233333333333334
2.1082354,1,21,75,74,5.6
11.9734896,1,14,95,145,32.13333333333333
2.5105704,1,12,43,239,8.85
6.115492,1,19,97,114,16.816666666666666
0.5793623999999999,1,9,42,247,3.2666666666666666
2.735878,1,7,74,166,12.283333333333333
3.9750698000000004,6,9,260,260,59.016666666666666
1.5610598,1,14,24,151,6.783333333333333
3.7175754,1,9,43,142,11.4
1.6254334,2,12,166,151,7.466666666666667
1.5771532,1,18,166,238,5.866666666666666
13.888604200000001,1,13,134,101,51.28333333333333
7.7087386,1,22,223,43,22.45
2.1404222,1,12,43,236,14.85
1.4323126,1,10,43,151,4.866666666666666
1.9794882,1,11,74,75,4.633333333333334
3.1221196,1,10,74,263,13.633333333333333
6.5661072,1,13,75,234,44.28333333333333
6.0511184,1,16,82,138,9.683333333333334
10.7986714,1,11,74,138,16.683333333333334
5.7453438,1,15,82,138,10.133333333333333
